CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['OPS', '3367', 'B']
OBJECT_ID 	= ['OPS', '3367', 'B']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 37110.0	2764.022954888722 1569.0484461019519 -6440.004699094106 -4.11934564551351 -5.391995590956602 -3.0695697182980077
59945 37120.0	2722.6698503287607 1515.0397207383814 -6470.359378889251 -4.148863889258432 -5.408602988863497 -3.000085738171536
59945 37130.0	2681.0251166513635 1460.8693620526592 -6500.016545315773 -4.1779358453253055 -5.424628469439867 -2.930277707769812
59945 37140.0	2639.0932572186757 1406.5432158124859 -6528.973033327501 -4.206558388397544 -5.44007030667165 -2.860153137547551
59945 37150.0	2596.878805959203 1352.06714408394 -6557.225753854127 -4.2347284415216695 -5.454926837326885 -2.789719572002756
59945 37160.0	2554.386326888953 1297.4470246168225 -6584.771694109638 -4.262442976425678 -5.469196461128221 -2.7189845888958235
59945 37170.0	2511.6204135925705 1242.6887501808228 -6611.607917917379 -4.2896990138570255 -5.48287764093193 -2.6479557984034465
59945 37180.0	2468.5856887385853 1187.798227948161 -6637.731566002146 -4.316493623890809 -5.495968902887364 -2.5766408423309684
59945 37190.0	2425.2868035542674 1132.7813788268493 -6663.139856297633 -4.342823926256812 -5.5084688366018675 -2.505047393259099
59945 37200.0	2381.7284373160514 1077.644136816641 -6687.830084232787 -4.3686870906487 -5.520376095292183 -2.433183153718241
59945 37210.0	2337.915296856312 1022.392448387989 -6711.7996229992405 -4.3940803370168 -5.531689395924242 -2.3610558553911973
59945 37220.0	2293.8521160293153 967.0322718116405 -6735.04592383212 -4.419000935878384 -5.542407519356743 -2.2886732582499487
59945 37230.0	2249.543655212652 911.5695765355173 -6757.566516260914 -4.443446208600045 -5.552529310467705 -2.2160431497523994
59945 37240.0	2204.9947007675173 856.0103425122027 -6779.3590083724075 -4.467413527696601 -5.562053678283787 -2.1431733439729195
59945 37250.0	2160.210064515353 800.3605595496084 -6800.421087053982 -4.490900317113134 -5.570979596097359 -2.0700716807613904
59945 37260.0	2115.194583231755 744.6262266853332 -6820.7505182194645 -4.5139040524914575 -5.5793061015731285 -1.9967460249317577
59945 37270.0	2069.953118098695 688.8133515115168 -6840.345147045074 -4.536422261451805 -5.5870322968559485 -1.9232042653839005
59945 37280.0	2024.4905541976284 632.9279495526689 -6859.202898176913 -4.558452523846716 -5.594157348663499 -1.8494543142935105
59945 37290.0	1978.811799936704 576.9760435646555 -6877.321775956921 -4.579992472040632 -5.600680488382688 -1.7755041061963177
59945 37300.0	1932.921786555125 520.9636629309977 -6894.6998646064 -4.601039791144842 -5.606601012146044 -1.7013615971989584
59945 37310.0	1886.825467565648 464.8968429853205 -6911.335328426033 -4.621592219276021 -5.6119182809109205 -1.6270347640907583
59945 37320.0	1840.5278182146162 408.7816243578171 -6927.226411978403 -4.641647547799091 -5.616631720528216 -1.5525316034854217
59945 37330.0	1794.0338349603032 352.6240523460509 -6942.371440255214 -4.661203621555886 -5.620740821802429 -1.4778601309934123
59945 37340.0	1747.3485348881272 296.4301762116444 -6956.768818856141 -4.680258339114124 -5.624245140550528 -1.403028380294156
59945 37350.0	1700.4769552052212 240.20604857527337 -6970.41703413165 -4.6988096529758305 -5.627144297646115 -1.3280444023371312
59945 37360.0	1653.4241526720216 183.9577247377025 -6983.314653337389 -4.716855569806053 -5.629437979062367 -1.25291626444301
59945 37370.0	1606.1952030521707 127.69126202534449 -6995.460324772641 -4.734394150646827 -5.631125935905772 -1.1776520494355989
59945 37380.0	1558.795200581477 71.41271916063806 -7006.852777905061 -4.751423511117894 -5.632207984442556 -1.1022598548053337
59945 37390.0	1511.229257372769 15.12815555837983 -7017.490823502107 -4.767941821634375 -5.632684006119868 -1.0267477917719525
59945 37400.0	1463.5025029021058 -41.15636927894627 -7027.3733537329135 -4.783947307588143 -5.63255394757756 -0.9511239844779587
59945 37410.0	1415.6200834310143 -97.43479643969863 -7036.499342276823 -4.799438249546054 -5.631817820654781 -0.8753965690814831
59945 37420.0	1367.5871614478806 -153.7010682565466 -7044.867844417543 -4.8144129834344485 -5.630475702388648 -0.7995736928809426
59945 37430.0	1319.4089151289086 -209.94912893494813 -7052.477997125287 -4.828869900711458 -5.62852773500692 -0.7236635134717092
59945 37440.0	1271.0905377343759 -266.17292525510584 -7059.329019140522 -4.842807448552685 -5.6259741259114975 -0.6476741978019555
59945 37450.0	1222.6372370878457 -322.366407174741 -7065.420211034852 -4.856224130005092 -5.622815147657775 -0.5716139213605355
59945 37460.0	1174.0542349907257 -378.5235285053018 -7070.750955273548 -4.869118504154243 -5.619051137924823 -0.4954908672641004
59945 37470.0	1125.3467666609079 -434.638247557821 -7075.320716264972 -4.881489186277742 -5.614682499479464 -0.4193132253834028
59945 37480.0	1076.5200801659146 -490.7045277930515 -7079.129040401875 -4.893334847993961 -5.609709700133158 -0.34308919146211964
59945 37490.0	1027.579435854942 -546.7163384707006 -7082.175556093779 -4.904654217404671 -5.604133272691901 -0.26682696623514657
59945 37500.0	978.5301057897582 -602.6676552978558 -7084.459973790542 -4.915446079231608 -5.597953814899166 -0.1905347545462574
59945 37510.0	929.3773731746036 -658.5524610764097 -7085.982085997033 -4.925709274946953 -5.591171989371814 -0.11422076446538762
59945 37520.0	880.1265317851237 -714.3647463494625 -7086.7417672789725 -4.935442702897712 -5.5837885235290345 -0.03789320640556956
59945 37530.0	830.7828853963509 -770.0985100466794 -7086.738974259908 -4.9446453184239365 -5.5758042095143505 0.03843970776045529
59945 37540.0	781.3517472099236 -825.7477601284004 -7085.9737456093735 -4.953316133970875 -5.567219904110617 0.11476976558365085
59945 37550.0	731.8384392804139 -881.3065142286398 -7084.446202022195 -4.9614542191949464 -5.558036528648074 0.19108875492233282
59945 37560.0	682.2482919454011 -936.7688002918019 -7082.156546189226 -4.969058701062895 -5.548255068906372 0.26738846481892303
59945 37570.0	632.5866432286832 -992.128657237291 -7079.105062757856 -4.976128763948699 -5.537876575004308 0.3436606864168475
59945 37580.0	582.8588383082501 -1047.3801355497162 -7075.292118287236 -4.982663649714574 -5.526902161295956 0.4198972137767635
59945 37590.0	533.0702288966108 -1102.5172979648598 -7070.718161190036 -4.988662657798746 -5.515333006242159 0.4960898448263619
59945 37600.0	483.2261726860191 -1157.5342200810908 -7065.383721668938 -4.994125145287317 -5.5031703522884 0.5722303822092827
59945 37610.0	433.3320327714562 -1212.4249909936009 -7059.28941164352 -4.999050526983388 -5.490415505731662 0.6483106341671512
59945 37620.0	383.3931770514358 -1267.183713950842 -7052.435924665241 -5.003438275471821 -5.47706983657437 0.7243224154542023
59945 37630.0	333.41497769416793 -1321.8045069370944 -7044.824035832201 -5.007287921171611 -5.463134778388711 0.8002575481512152
59945 37640.0	283.4028105159207 -1376.2815033493957 -7036.454601683829 -5.0105990523902255 -5.448611828151187 0.876107862612079
59945 37650.0	233.36205442494224 -1430.6088526003891 -7027.328560095419 -5.013371315365593 -5.433502546087536 0.9518651983093502
59945 37660.0	183.29809084334443 -1484.7807207433725 -7017.446930161424 -5.015604414304143 -5.4178085555053475 1.027521404712313
59945 37670.0	133.2163031070636 -1538.791291118903 -7006.8108120653405 -5.017298111413203 -5.401531542612686 1.1030683421969634
59945 37680.0	83.12207593163271 -1592.6347649282193 -6995.421386954383 -5.018452226924615 -5.384673256350909 1.178497882855489
59945 37690.0	33.02079479027475 -1646.3053618993197 -6983.279916787585 -5.019066639115537 -5.367235508192732 1.2538019114369952
59945 37700.0	-17.08215464198304 -1699.797320879672 -6970.3877441888 -5.0191412843203915 -5.349220171954618 1.3289723261874387
59945 37710.0	-67.18138706599086 -1753.1049004504657 -6956.7462922869445 -5.018676156937717 -5.330629183595645 1.404001039721376
59945 37720.0	-117.27151815778029 -1806.2223795616983 -6942.357064541246 -5.017671309430181 -5.311464541001189 1.4788799799248726
59945 37730.0	-167.34716510170267 -1859.1440580949286 -6927.221644576376 -5.0161268523193 -5.291728303784806 1.5536010907582887
59945 37740.0	-217.4029472109736 -1911.8642575167964 -6911.341695984534 -5.014042954172673 -5.271422593050304 1.6281563331886766
59945 37750.0	-267.4334864775459 -1964.3773214554894 -6894.718962138969 -5.011419841586156 -5.2505495911739155 1.7025376860153618
59945 37760.0	-317.43340816966065 -2016.677616325508 -6877.355265984309 -5.008257799158179 -5.2291115415607505 1.7767371467654884
59945 37770.0	-367.3973413850547 -2068.7595319037323 -6859.252509832714 -5.004557169459919 -5.207110748412668 1.8507467325224172
59945 37780.0	-417.3199196254118 -2120.61748192594 -6840.412675145182 -5.000318352998659 -5.184549576481128 1.924558480784701
59945 37790.0	-467.1957813920001 -2172.245904703147 -6820.837822295754 -4.9955418081727005 -5.161430450803257 1.9981644503551452
59945 37800.0	-517.0195707368024 -2223.6392636895835 -6800.5300903435655 -4.9902280512235215 -5.137755856450948 2.071556722162824
59945 37810.0	-566.7859378565174 -2274.792048093039 -6779.4916967797935 -4.984377656177802 -5.1135283382534675 2.1447274001472416
59945 37820.0	-616.4895396420051 -2325.6987734371473 -6757.724937283826 -4.977991254787601 -5.0887505005342035 2.217668612075656
59945 37830.0	-666.1250402486935 -2376.353982143395 -6735.232185463077 -4.971069536462618 -5.063425006831163 2.2903725103902057
59945 37840.0	-715.6871116877228 -2426.75224413213 -6712.01589257429 -4.963613248192852 -5.037554579599688 2.3628312730841707
59945 37850.0	-765.170434372449 -2476.888157375851 -6688.078587256085 -4.955623194470907 -5.011141999930782 2.4350371045115486
59945 37860.0	-814.5696977073661 -2526.7563484936354 -6663.422875233317 -4.947100237201823 -4.98419010724065 2.506982236257519
59945 37870.0	-863.8796006323804 -2576.351473298214 -6638.051439034068 -4.938045295613451 -4.956701798976956 2.578658927942495
59945 37880.0	-913.0948521876489 -2625.6682173619715 -6611.967037688846 -4.92845934615781 -4.928680030307792 2.6500594680551015
59945 37890.0	-962.2101720987023 -2674.7012966010834 -6585.172506409866 -4.918343422401707 -4.900127813791793 2.721176174813244
59945 37900.0	-1011.2202913169257 -2723.445457812785 -6557.670756284936 -4.907698614919348 -4.871048219066465 2.7920013969591646
59945 37910.0	-1060.1199526018431 -2771.8954792523286 -6529.464773940206 -4.8965260711702605 -4.841444372505506 2.862527514613776
59945 37920.0	-1108.90391105882 -2820.0461711634575 -6500.557621218848 -4.884826995380136 -4.811319456895337 2.932746940065299
59945 37930.0	-1157.5669346969185 -2867.8923763270595 -6470.95243484059 -4.872602648411481 -4.780676711093381 3.0026521185859143
59945 37940.0	-1206.10380500216 -2915.4289706227273 -6440.652426042663 -4.859854347623644 -4.749519429669251 3.0722355292691654
59945 37950.0	-1254.5093174919211 -2962.650863569467 -6409.660880222555 -4.846583466730402 -4.717850962550089 3.1414896858388155
59945 37960.0	-1302.7782822465176 -3009.5529988421886 -6377.981156587029 -4.8327914356576045 -4.685674714674184 3.2104071374238807
59945 37970.0	-1350.905524481505 -3056.130354825843 -6345.616687766646 -4.818479740383423 -4.652994145611083 3.2789804693906435
59945 37980.0	-1398.8858850758281 -3102.3779451244955 -6312.570979450074 -4.803649922784416 -4.619812769203851 3.3472023041102497
59945 37990.0	-1446.7142211403348 -3148.290819107438 -6278.847609982768 -4.788303580463222 -4.586134153177049 3.415065301782588
59945 38000.0	-1494.3854065631594 -3193.8640624305585 -6244.450229971506 -4.772442366576032 -4.551961918752662 3.482562161225668
59945 38010.0	-1541.8943325322552 -3239.092797533878 -6209.382561897002 -4.756067989661333 -4.517299740275643 3.549685620631412
59945 38020.0	-1589.2359080978347 -3283.9721841751857 -6173.648399689169 -4.739182213449035 -4.482151344803931 3.6164284583766535
59945 38030.0	-1636.405060690959 -3328.4974199197104 -6137.251608325432 -4.72178685667776 -4.446520511723025 3.68278349377073
59945 38040.0	-1683.3967366815828 -3372.6637406650893 -6100.196123390686 -4.70388379289171 -4.410411072324291 3.748743587857347
59945 38050.0	-1730.205901913494 -3416.466421142138 -6062.485950644803 -4.6854749502383815 -4.373826909392548 3.8143016441823647
59945 38060.0	-1776.8275422165334 -3459.9007753922688 -6024.125165599958 -4.666562311268895 -4.33677195680453 3.87945060952839
59945 38070.0	-1823.2566639577035 -3502.962157279244 -5985.117913057886 -4.6471479127165205 -4.299250199089922 3.944183474702486
59945 38080.0	-1869.4882945489037 -3545.6459609582394 -5945.468406673397 -4.6272338452857324 -4.26126567101927 4.008493275261764
59945 38090.0	-1915.5174829931343 -3587.947621378491 -5905.180928476816 -4.606822253418671 -4.222822457153737 4.072373092291182
59945 38100.0	-1961.3393004075713 -3629.8626147621076 -5864.259828405814 -4.585915335063783 -4.183924691405515 4.135816053147516
59945 38110.0	-2006.9488405242598 -3671.3864590603084 -5822.70952384858 -4.56451534144819 -4.14457655661022 4.198815332170896
59945 38120.0	-2052.3412202284635 -3712.5147144419757 -5780.534499144462 -4.5426245768262445 -4.104782284060144 4.2613641514470455
59945 38130.0	-2097.5115800503477 -3753.242983737506 -5737.739305117669 -4.520245398242869 -4.064546153070173 4.32345578150355
59945 38140.0	-2142.4550847176815 -3793.566912935571 -5694.3285585447 -4.49738021526037 -4.023872490482478 4.385083542088534
59945 38150.0	-2187.1669236263233 -3833.4821916033848 -5650.306941689583 -4.474031489718424 -3.9827656702363283 4.446240802834689
