CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['OPS', '3367', 'A']
OBJECT_ID 	= ['OPS', '3367', 'A']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 37120.0	-276.82484936285687 1524.1061489576202 7014.067351276617 4.4565377377974595 5.859830534879285 -1.1028493928199326
59945 37130.0	-232.1769684605249 1582.7149528283455 7002.642893231357 4.459267054740245 5.843105959870753 -1.178346197243822
59945 37140.0	-187.50495759000978 1641.1522926854852 6990.4630632279805 4.461515330129346 5.8257508254469546 -1.253716433867285
59945 37150.0	-142.81364964988893 1699.4118502011866 6977.529196303614 4.463282324371178 5.807766999527725 -1.3289519818806803
59945 37160.0	-98.10787941272906 1757.4873265965437 6963.842709354651 4.464567849718966 5.789156417781726 -1.4040447349403462
59945 37170.0	-53.39248294855793 1815.3724433908787 6949.405100960705 4.465371770294778 5.769921083399479 -1.4789866021211409
59945 37180.0	-8.67229713440247 1873.0609430364868 6934.217951224781 4.465694002102751 5.750063066894052 -1.5537695087224397
59945 37190.0	36.047840922350815 1930.546589662565 6918.282921576867 4.465534513038491 5.729584505857684 -1.6283853972168876
59945 37200.0	80.76309435861322 1987.8231696850507 6901.601754602678 4.464893322891852 5.708487604756046 -1.7028262280268198
59945 37210.0	125.4686271241676 2044.8844925351516 6884.17627383149 4.4637705033448185 5.686774634673552 -1.7770839804560048
59945 37220.0	170.1596045108804 2101.724391334402 6866.008383527305 4.4621661779628585 5.664447933068033 -1.8511506535536513
59945 37230.0	214.83119364635718 2158.336723522314 6847.100068486329 4.460080522182536 5.641509903536669 -1.9250182669179865
59945 37240.0	259.4785640656719 2214.715371580932 6827.4533937939195 4.45751376329089 5.617963015535814 -1.9986788616275921
59945 37250.0	304.0968882004531 2270.854243652001 6807.070504606627 4.454466180402497 5.593809804135248 -2.0721245010342093
59945 37260.0	348.68134195360676 2326.747274259903 6785.953625887807 4.450938104426221 5.569052869720232 -2.145347271695207
59945 37270.0	393.2271051719101 2382.3884249035473 6764.105062180408 4.446929918033009 5.543694877741159 -2.218339284136188
59945 37280.0	437.72936221572013 2437.7716847679335 6741.527197326115 4.442442055611313 5.517738558403134 -2.2910926737717094
59945 37290.0	482.1833024655766 2492.8910713539963 6718.222494204691 4.4374750032214525 5.491186706382713 -2.363599601720578
59945 37300.0	526.584120855437 2547.7406311393725 6694.193494451578 4.432029298542191 5.464042180522477 -2.4358522556631867
59945 37310.0	570.9270183779199 2602.3144402021044 6669.44281818145 4.426105530815013 5.436307903535237 -2.5078428506516435
59945 37320.0	615.2072026510014 2656.606604917631 6643.9731636687975 4.41970434077483 5.407986861662774 -2.579563630018077
59945 37330.0	659.4198883866254 2710.6112625325773 6617.787307073934 4.4128264205879 5.379082104388359 -2.6510068661220334
59945 37340.0	703.5602979594628 2764.322581859157 6590.888102103572 4.405472513770524 5.34959674407882 -2.722164861258667
59945 37350.0	747.6236618892945 2817.7347638613905 6563.278479712318 4.39764341511464 5.319533955674786 -2.793029948425522
59945 37360.0	791.6052194075148 2870.8420423412426 6534.961447744129 4.389339970594027 5.288896976317542 -2.8635944922233
59945 37370.0	835.5002189220957 2923.6386844991457 6505.940090627802 4.3805630772824635 5.2576891050373415 -2.9338508895916338
59945 37380.0	879.3039185779205 2976.118991607549 6476.217569003335 4.371313683249144 5.225913702368996 -3.003791570696505
59945 37390.0	923.011586754134 3028.2772996057856 6445.797119379063 4.361592787459815 5.193574190003302 -3.0734089997148524
59945 37400.0	966.6185025872173 3080.1079797235498 6414.682053762987 4.35140143966723 5.160674050413034 -3.142695675658803
59945 37410.0	1010.1199564659678 3131.605439068404 6382.87575930483 4.340740740302379 5.127216826492444 -3.2116441331535963
59945 37420.0	1053.5112505861084 3182.764121281552 6350.381697885685 4.32961184034553 5.093206121143705 -3.2802469433084727
59945 37430.0	1096.787699408207 3233.5785070765382 6317.203405768883 4.318015941215045 5.058645596929916 -3.34849671443258
59945 37440.0	1139.9446302130334 3284.0431148907205 6283.344493169937 4.305954294626186 5.023538975645211 -3.416386092903627
59945 37450.0	1182.977383571858 3334.1525014340286 6248.808643881273 4.2934282024661705 4.987890037944202 -3.4839077639004623
59945 37460.0	1225.8813138983076 3383.901262330711 6213.599614824028 4.280439016640729 4.951702622897735 -3.551054452262405
59945 37470.0	1268.6517899004748 3433.284032642234 6177.7212356701075 4.266988138943608 4.914980627623155 -3.6178189231902866
59945 37480.0	1311.2841951255343 3482.295487495365 6141.177408380463 4.253077020893046 4.877728006830086 -3.68419398309096
59945 37490.0	1353.7739284422798 3530.9303426355464 6103.9721067842975 4.238707163580744 4.839948772410302 -3.750172480322851
59945 37500.0	1396.116404548153 3579.183355006132 6066.109376128743 4.223880117507441 4.801646992999106 -3.815747305978174
59945 37510.0	1438.307054452054 3627.049323297422 6027.593332640548 4.20859748242085 4.762826793550653 -3.8809113946259286
