CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['THOR', 'AGENA', 'D', 'RB']
OBJECT_ID 	= ['THOR', 'AGENA', 'D', 'RB']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 36700.0	-2576.9122843959412 2257.679187285858 6278.27420260647 -3.0591846804577894 5.9278671866491734 -3.3615563867338594
59945 36710.0	-2607.2609373990563 2316.6196089505074 6244.4386627266485 -3.0310580892296555 5.903032019166254 -3.4295278894704273
59945 36720.0	-2637.329713953857 2375.3130305334553 6209.925480135607 -3.002604408179359 5.877559216309431 -3.4971262654618016
59945 36730.0	-2667.1153410233096 2433.7530949191623 6174.738315370869 -2.9738267161423173 5.851451538120353 -3.5643441938441813
59945 36740.0	-2696.614575371465 2491.9334710317426 6138.880902183772 -2.944728127063329 5.824711813390916 -3.6311743949382818
59945 36750.0	-2725.824203932293 2549.8478545421895 6102.357047156417 -2.9153117896497394 5.79734293934791 -3.697609631061383
59945 36760.0	-2754.7410441599072 2607.4899685426303 6065.170629328907 -2.8855808870357773 5.769347881343779 -3.7636427072994683
59945 36770.0	-2783.3619443910975 2664.8535642485203 6027.3255997993065 -2.8555386364276876 5.7407296725255055 -3.8292664723095005
59945 36780.0	-2811.683784177165 2721.932421643006 5988.825981351606 -2.825188288773882 5.711491413523212 -3.894473819053591
59945 36790.0	-2839.7034746503455 2778.720350194155 5949.675868026436 -2.794533128392105 5.681636272094242 -3.9592576856145802
59945 36800.0	-2867.4179588473685 2835.211189489502 5909.879424737293 -2.76357647263528 5.651167482800369 -4.023611055915241
59945 36810.0	-2894.8242120692576 2891.3988099475932 5869.44088682463 -2.7323216715110603 5.620088346636519 -4.087526960523395
59945 36820.0	-2921.9192421990556 2947.277113447557 5828.3645596573215 -2.700772107340968 5.588402230694416 -4.150998477361722
59945 36830.0	-2948.700090054878 3002.840034034687 5786.654818170247 -2.668931194372493 5.556112567776062 -4.2140187325021214
59945 36840.0	-2975.163829703886 3058.0815385494834 5744.31610644743 -2.6368023784288805 5.523222856041109 -4.276580900871165
59945 36850.0	-3001.3075687969376 3112.9956273029165 5701.352937261883 -2.6043891365280296 5.48973665861978 -4.338678207006149
59945 36860.0	-3027.1284488993483 3167.5763347480206 5657.769891606848 -2.57169497649761 5.455657603217844 -4.400303925804917
59945 36870.0	-3052.623645795692 3221.817730100632 5613.5716182572905 -2.538723436615324 5.420989381744239 -4.4614513832163345
59945 36880.0	-3077.790369825154 3275.7139180285744 5568.762833266923 -2.505478085203151 5.385735749887278 -4.52211395700612
59945 36890.0	-3102.6258661776014 3329.259039261581 5523.348319519005 -2.4719625202641797 5.3499005267320205 -4.582285077431326
59945 36900.0	-3127.1274152215865 3382.447271273419 5477.332926207388 -2.4381803690699884 5.31348759432189 -4.641958227994243
59945 36910.0	-3151.2923327938743 3435.272828885504 5430.721568373175 -2.4041352877914934 5.276500897263203 -4.701126946106052
59945 36920.0	-3175.117970519939 3487.7299649416223 5383.519226370004 -2.3698309610796775 5.238944442272374 -4.759784823828429
59945 36930.0	-3198.6017160968245 3539.8129709050445 5335.730945386635 -2.3352711016905503 5.200822297767734 -4.817925508526181
59945 36940.0	-3221.74099360594 3591.5161775255497 5287.3618348966575 -2.3004594500593676 5.162138593402558 -4.8755427035962215
59945 36950.0	-3244.5332637891242 3642.8339554296845 5238.417068167226 -2.2653997739199507 5.1228975196443525 -4.932630169108847
59945 36960.0	-3266.9760243536075 3693.7607157797893 5188.901881693334 -2.2300958678725795 5.083103327293877 -4.989181722523801
